text,emotion
I am feeling very happy today,happy
I feel great and excited,happy
Today is a wonderful day,happy
I am enjoying my day,happy
I feel joyful and positive,happy
I am feeling sad,sad
I feel lonely today,sad
I am upset and unhappy,sad
I feel low today,sad
I want to cry,sad
I am very angry,angry
I feel frustrated,angry
I am annoyed today,angry
I am mad about what happened,angry
I feel irritated,angry
I feel calm and peaceful,relaxed
I am relaxed today,relaxed
I want to chill and listen to music,relaxed
I feel comfortable and calm,relaxed
I am having a peaceful day,relaxed
I feel okay today,neutral
I am doing normal today,neutral
Nothing special happened today,neutral
I feel fine,neutral
My mood is normal,neutral
